id,nome,descricao,tipo,imagens,nivel,repositorio,destaque
1,ai4-business,Q&A com IA - Processamento de Linguagem Natural usando LangChain,AI,["https://github.com/paulocesarml/ai4-business/blob/main/.gitassets/1.jpg"],3,https://github.com/paulocesarml/ai4-business,true
2,SpaceWar,SpaceWar é um jogo estilo arcade inspirado em batalhas espaciais desenvolvido em python e turtle,Games,["https://github.com/paulocesarml/SpaceWar/blob/main/.gitassets/1.jpg"],4,https://github.com/paulocesarml/SpaceWar,true
3,How-to-Check-if-Time-Series-Data-is-Stationary-with-Python,Análise de Séries Temporais com Python,Data Science,["https://github.com/paulocesarml/How-to-Check-if-Time-Series-Data-is-Stationary-with-Python/blob/master/.gitassets/1.jpg"],1,https://github.com/paulocesarml/How-to-Check-if-Time-Series-Data-is-Stationary-with-Python,false
4,evolucao_computacional_tres_desafios_com_algoritmos_geneticos,Evolução Computacional: Três Desafios com Algoritmos Genéticos,IA,["https://github.com/paulocesarml/evolucao_computacional_tres_desafios_com_algoritmos_geneticos/blob/main/.gitassets/1.jpg"],3,https://github.com/paulocesarml/evolucao_computacional_tres_desafios_com_algoritmos_geneticos,false
